label,country,accession L,Accession NP,Accession GP,name,date,range,outbreak,exclude?,notes,Source L,Source NP,Source GP
EKA02|GAB|2002-02,GAB,DQ205409,,,EKA02,2002-02,,,,Ekata / Bat,Biek et al. 2006 Oct;2(10):e90. doi: 10.1371/journal.ppat.0020090.,,
EKBO2|GAB|2002-02,GAB,DQ205410,,,EKBO2,2002-02,,,,Ekata / Bat,Biek et al. 2006 Oct;2(10):e90. doi: 10.1371/journal.ppat.0020090.,,
MBA03F|COG|2003-02,COG,DQ205411,,,MBA03F,2003-02,,,,Mbomo / Bat,Biek et al. 2006 Oct;2(10):e90. doi: 10.1371/journal.ppat.0020090.,,
MBC03F|COG|2003-02,COG,DQ205413,,,MBC03F,2003-02,,,,Mbomo / Bat,Biek et al. 2006 Oct;2(10):e90. doi: 10.1371/journal.ppat.0020090.,,
MBB03F|COG|2003-02,COG,DQ205412,,,MBB03F,2003-02,,,,Mbomo / Bat,Biek et al. 2006 Oct;2(10):e90. doi: 10.1371/journal.ppat.0020090.,,
MBA03J|COG|2003-02,COG,DQ205414,,,MBA03J,2003-02,,,,Mbomo / Bat,Biek et al. 2006 Oct;2(10):e90. doi: 10.1371/journal.ppat.0020090.,,
MBB03J|COG|2003-02,COG,DQ205415,,,MBB03J,2003-02,,,,Mbomo / Bat,Biek et al. 2006 Oct;2(10):e90. doi: 10.1371/journal.ppat.0020090.,,
MendembaA|GAB|2001-10,GAB,DQ205416,EU051640,AY526105,MendembaA,2001-10,,Mekambo/2001,,Epidemic chain 1 in Gabon,Biek et al. 2006 Oct;2(10):e90. doi: 10.1371/journal.ppat.0020090.,Whittman (2007) 104 (43) 17123-17127 https://doi.org/10.1073/pnas.0704076104,"Leroy et al. (2004) SCIENCE 303, Issue 5656 pp. 387-390 DOI: 10.1126/science.1092528"
Olloba|GAB|2001-12,GAB,DQ205416-1,EU051643,AY526099,Olloba,2001-12,,Mbomo-Kelle/2001,,Extracted from info in text (Mekambo/2001?),Biek et al. 2006 Oct;2(10):e90. doi: 10.1371/journal.ppat.0020090.,Whittman (2007) 104 (43) 17123-17127 https://doi.org/10.1073/pnas.0704076104,"Leroy et al. (2004) SCIENCE 303, Issue 5656 pp. 387-390 DOI: 10.1126/science.1092528"
Etakayange|GAB|2001-12,GAB,DQ205416-2,EU051642,AY526100,Etakayange,2001-12,,Mekambo/2001,,Extracted from info in text,Biek et al. 2006 Oct;2(10):e90. doi: 10.1371/journal.ppat.0020090.,Whittman (2007) 104 (43) 17123-17127 https://doi.org/10.1073/pnas.0704076104,"Leroy et al. (2004) SCIENCE 303, Issue 5656 pp. 387-390 DOI: 10.1126/science.1092528"
Entsiami|COG|2002-01,COG,DQ211657,EU051644,AY526102,Entsiami,2002-01,,Mbomo-Kelle/2001,,,Biek et al. 2006 Oct;2(10):e90. doi: 10.1371/journal.ppat.0020090.,Whittman (2007) 104 (43) 17123-17127 https://doi.org/10.1073/pnas.0704076104,"Leroy et al. (2004) SCIENCE 303, Issue 5656 pp. 387-390 DOI: 10.1126/science.1092528"
